"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V4001";"V4002";"V0201";"V2011";"V2012";"V0202";"V0203";"V6203";"V0204";"V6204";"V0205";"V0206";"V0207";"V0208";"V0209";"V0210";"V0211";"V0212";"V0213";"V0214";"V0215";"V0216";"V0217";"V0218";"V0219";"V0220";"V0221";"V0222";"V0301";"V0401";"V0402";"V0701";"V6529";"V6530";"V6531";"V6532";"V6600";"V6210";"M0201";"M2011";"M0202";"M0203";"M0204";"M0205";"M0206";"M0207";"M0208";"M0209";"M0210";"M0211";"M0212";"M0213";"M0214";"M0215";"M0216";"M0217";"M0218";"M0219";"M0220";"M0221";"M0222";"M0301";"M0401";"M0402";"M0701"
"3089";35;49904;"3549904005005";2730137;20,5704320714954;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;3;2;2;2870;5,62745;956,67;1,87582;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3090";35;49904;"3549904005005";2732181;18,9035042782867;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,2;1;1;1;"";1;1;1;1;1;1;1;1;1;1;2;1;2;NA;2;1;2;1;1;2;1230;2,41176;1230;2,41176;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
"3091";35;49904;"3549904005005";2749849;17,3693744980778;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,8;2;2;1;"";1;1;1;1;1;1;1;1;1;1;1;1;2;NA;2;1;2;4;1;2;3350;6,56863;837,5;1,64216;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3092";35;49904;"3549904005005";2755950;21,0000837991425;3;13;50;0;1;1;11;3;220;0,43137;"1";3;1,3;1;4;1;"";1;1;1;1;1;1;1;1;1;1;1;2;2;NA;2;2;2;4;1;2;3530;6,92157;882,5;1,73039;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3093";35;49904;"3549904005005";2764432;21,0174704734481;3;13;50;0;1;1;11;1;NA;NA;"2";4;1,3;2;2,5;1;"";2;1;1;1;1;1;1;1;1;1;1;2;2;NA;2;1;2;5;2;2;2020;3,96078;404;0,79216;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3094";35;49904;"3549904005005";2765681;20,3564229268585;3;13;50;0;1;1;11;2;NA;NA;"2";3;0,7;1;2;1;"";1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;1500;2,94118;750;1,47059;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3095";35;49904;"3549904005005";2768758;21,812558352424;3;13;50;0;1;1;11;1;NA;NA;"2";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;2;2;NA;2;1;2;3;1;2;2200;4,31373;733,33;1,43791;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3096";35;49904;"3549904005005";2774574;21,3822946133017;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,6;2;1,5;1;"";3;1;2;1;1;1;1;1;1;1;1;2;2;NA;2;2;2;3;1;2;632;1,23922;210,67;0,41307;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3097";35;49904;"3549904005005";2776166;22,0553849915747;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;2;NA;2;1;2;3;1;2;1000;1,96078;333,33;0,65359;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3098";35;49904;"3549904005005";2783908;20,6342085761886;3;13;50;0;1;1;11;3;400;0,78431;"1";7;0,4;2;1,5;2;"";1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;3;1;2;600;1,17647;200;0,39216;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3099";35;49904;"3549904005005";2784141;27,9166508912288;3;13;50;0;1;1;11;2;NA;NA;"1";4;0,8;1;3;1;"";1;1;1;1;1;1;1;1;2;1;1;2;2;NA;2;2;2;3;1;2;612;1,2;204;0,4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3100";35;49904;"3549904005005";2793259;22,5000211714888;3;13;50;0;1;1;11;1;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;3;1;2;1610;3,15686;536,67;1,05229;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"3101";35;49904;"3549904005005";2796091;25,5721779308222;3;13;50;0;1;1;11;2;NA;NA;"1";5;0,6;2;1,5;1;"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;3;1;2;2800;5,4902;933,33;1,83007;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
