"";"V0001";"V0002";"V0011";"V0300";"V0010";"V1001";"V1002";"V1003";"V1004";"V1006";"V0703";"V0704";"V7051";"V7052";"M0703";"M0704";"M7051";"M7052"
"85";35;49904;3549904005010;392470;24,469220064506;3;13;50;0;1;2;2;68;NA;2;2;2;2
"86";35;49904;3549904005010;654948;23,9089421821778;3;13;50;0;1;11;1;63;NA;2;2;2;2
"87";35;49904;3549904005010;913534;19,8186852829283;3;13;50;0;1;4;2;56;NA;2;2;2;2
"88";35;49904;3549904005010;959616;23,3839378499981;3;13;50;0;1;11;1;38;NA;2;2;2;2
"89";35;49904;3549904005010;1164091;26,6422510415409;3;13;50;0;1;4;2;77;NA;2;2;2;2
"90";35;49904;3549904005010;2136523;26,340286500585;3;13;50;0;1;4;1;80;NA;2;2;2;2
"91";35;49904;3549904005010;2506306;43,816210500654;3;13;50;0;1;4;1;NA;0;2;2;2;2
"92";35;49904;3549904005010;3604514;15,9277499961279;3;13;50;0;1;5;1;27;NA;2;2;2;2
"93";35;49904;3549904005010;4587833;15,5018495128849;3;13;50;0;1;5;2;23;NA;2;2;2;2
"94";35;49904;3549904005010;4641958;13,0672567691401;3;13;50;0;1;12;1;67;NA;2;2;2;2
"95";35;49904;3549904005010;5368447;22,0942434162551;3;13;50;0;1;10;2;77;NA;2;2;2;2
"96";35;49904;3549904005010;5815902;13,0672567691401;3;13;50;0;1;5;1;49;NA;2;2;2;2
"97";35;49904;3549904005010;5978671;26,7650280254446;3;13;50;0;1;8;1;91;NA;2;2;2;2
"98";35;49904;3549904005010;6079966;19,0878377969543;3;13;50;0;1;11;1;79;NA;2;2;2;2
"99";35;49904;3549904005011;422425;24,3331223249367;3;13;50;0;1;1;1;45;NA;2;2;2;2
"100";35;49904;3549904005011;937220;17,2660982808247;3;13;50;0;1;12;1;49;NA;2;2;2;2
"101";35;49904;3549904005011;1471262;15,630870495461;3;13;50;0;1;7;2;103;NA;2;2;2;2
"102";35;49904;3549904005011;1554473;19,6035775160435;3;13;50;0;1;5;1;67;NA;2;2;2;2
"103";35;49904;3549904005011;2469912;20,3881132225784;3;13;50;0;1;4;2;11;NA;2;2;2;2
"104";35;49904;3549904005011;3368802;21,3343157345928;3;13;50;0;1;2;1;75;NA;2;2;2;2
"105";35;49904;3549904005011;3375460;24,2098976600585;3;13;50;0;1;9;1;75;NA;2;2;2;2
"106";35;49904;3549904005011;4101415;22,6993557651921;3;13;50;0;1;1;2;89;NA;2;2;2;2
"107";35;49904;3549904005011;4353464;17,2660982808247;3;13;50;0;1;2;1;19;NA;2;2;2;2
"108";35;49904;3549904005011;4388264;22,7142874288338;3;13;50;0;1;7;1;56;NA;2;2;2;2
"109";35;49904;3549904005011;5262299;19,3884397118811;3;13;50;0;1;9;1;21;NA;2;2;2;2
"110";35;49904;3549904005011;5369784;21,6262890696881;3;13;50;0;1;2;1;77;NA;2;2;2;2
"111";35;49904;3549904005012;28292;19,3934052534511;3;13;50;0;1;8;2;86;NA;2;2;2;2
"112";35;49904;3549904005012;398855;23,0729399118984;3;13;50;0;1;1;1;83;NA;2;2;2;2
"113";35;49904;3549904005012;454757;23,1902985046926;3;13;50;0;1;10;1;86;NA;2;2;2;2
